sample,mean_LUSC,mean_LUAD,DE_LUSC_vs_LUAD
KRT6A,0.7459014941334905,0.3068087392673372,0.4390927548661533
KRT5,0.7857260190265875,0.297542550641854,0.4881834683847335
DSG3,0.6986019909209177,0.12619835663979598,0.5724036342811217
CALML3,0.644096482884754,0.13793212546719372,0.5061643574175603
XIST,0.26368371698054566,0.37733794228145573,0.11365422530091007
SFTPC,0.41959567131038245,0.5592134481237452,0.13961777681336274
KRT6B,0.6484157506895688,0.19988168112923305,0.44853406956033576
RPS4Y1,0.5507908130924181,0.49868816459880416,0.0521026484936139
KRT14,0.5566901546704682,0.19397407209361206,0.36271608257685617
KRT6C,0.6150784226832181,0.17220096976315935,0.44287745292005876
KRT13,0.538568195365424,0.1739042027420276,0.3646639926233964
AKR1B10,0.5440115372893656,0.274569540866798,0.26944199642256755
MAGEA4,0.43430484475395026,0.07780426932253337,0.3565005754314169
SPRR2A,0.535232553452797,0.08215190922556184,0.45308064422723515
CLCA2,0.6693354413623779,0.20768587861020224,0.4616495627521756
SERPINB13,0.5828783349458674,0.07807957924675497,0.5047987556991124
KRT16,0.6023560057245869,0.2672608322642737,0.3350951734603132
SPRR3,0.49063953918978215,0.06516622237295742,0.4254733168168247
NTS,0.475570297373446,0.16234431043050096,0.31322598694294507
DSC3,0.7460052018269685,0.245863828201246,0.5001413736257225
SPRR1B,0.5951563073213877,0.15771476844937632,0.43744153887201137
XAGE1D,0.25577682615321873,0.5946763269488563,0.3388995007956376
DDX3Y,0.55256601512819,0.5114589207947295,0.04110709433346049
PLUNC,0.25915750591031517,0.41976352229424146,0.1606060163839263
PGC,0.26201252985436957,0.4633988638171751,0.20138633396280553
ADH7,0.5376308257905986,0.14860902847832155,0.38902179731227704
UPK1B,0.499962358472523,0.11403379160473288,0.38592856686779015
MAGEA6,0.34166798170674917,0.28945050652170845,0.05221747518504072
SFTPA1,0.4959884491628856,0.6729370394515893,0.17694859028870374
KDM5D,0.5210209410643019,0.5017304027652028,0.019290538299099103
SPRR1A,0.5167901247254874,0.08736638409065166,0.4294237406348357
SFTPA2,0.5379518215609804,0.6945739497853676,0.15662212822438715
SERPINB3,0.5931163049500203,0.25305126107754594,0.3400650438724744
A2ML1,0.5113660668823868,0.09348124225451211,0.41788482462787474
FGG,0.27673129852116374,0.4940752923327491,0.21734399381158537
SERPINB5,0.7439154050709774,0.3375836531562858,0.4063317519146916
MAGEA3,0.33598727138311213,0.29220877255743083,0.0437784988256813
SCGB1A1,0.3565752134996481,0.44907443227398675,0.09249921877433864
UGT1A6,0.6319746875692004,0.335159351824311,0.2968153357448894
FGB,0.0895324799306242,0.26963856671459097,0.18010608678396678
SPRR2D,0.5269808154289953,0.13666902202309403,0.3903117934059013
RHCG,0.4873549205007411,0.13164903568780456,0.3557058848129365
MAGEA9B,0.4237731187237704,0.11441171858225171,0.3093614001415187
GSTM1,0.35977261492216134,0.3382729171367735,0.02149969778538785
PKP1,0.7736775647298768,0.4232267354915893,0.3504508292382875
S100A7,0.37026478321851986,0.04643163367549658,0.3238331495430233
PRAME,0.5948089408315091,0.39338833929369893,0.20142060153781022
GJB6,0.5937575189924065,0.23301268735950542,0.36074483163290105
USP9Y,0.49231995795735123,0.4913544093990758,0.0009655485582754086
LASS3,0.5861077198807148,0.06862203934162986,0.5174856805390848
SFTPB,0.5513578152983692,0.7647168559397454,0.21335904064137612
C20orf114,0.3805324336278413,0.5121690205953554,0.13163658696751412
MUC5B,0.3614756756648878,0.5648640224333727,0.20338834676848494
SPRR2E,0.423269501326614,0.04886142073266805,0.374408080593946
LY6D,0.5092991682156475,0.22984188698351377,0.2794572812321337
GPX2,0.6571097528782344,0.4326325177987816,0.22447723507945277
FOXE1,0.6291243773721186,0.24593604086786583,0.38318833650425277
CLDN18,0.35959601577345646,0.49773134840642014,0.13813533263296368
TMPRSS11D,0.49841612167515637,0.0816827194412486,0.41673340223390776
FGA,0.20190920872922705,0.4052571610181708,0.20334795228894373
NAPSA,0.4808858824337421,0.766479397300072,0.2855935148663299
BNC1,0.6356368636499208,0.1388984700156048,0.496738393634316
SPINK1,0.1755934337443613,0.4312498637639975,0.2556564300196362
DAPL1,0.5049652778690096,0.11959470470242096,0.3853705731665886
UGT1A7,0.3536438933839924,0.012275087786757653,0.3413688055972347
PADI3,0.3947648799090513,0.08522697129008064,0.3095379086189707
EIF1AY,0.45996860689281754,0.43997102646437036,0.01999758042844718
SERPINB4,0.5011680480909364,0.1773871816327203,0.32378086645821613
MAGEA2,0.22965224798005637,0.2519576929285245,0.022305444948468117
SCGB3A2,0.38363307446908507,0.5642087240435967,0.1805756495745116
UTY,0.4814235393649863,0.4804896759436886,0.0009338634212976982
LOC642587,0.670034079008361,0.23546228357178356,0.4345717954365774
FAT2,0.7106943092330101,0.2833018595367488,0.42739244969626133
KRT17,0.7351757421605064,0.4540798358275245,0.2810959063329819
SFTA2,0.3246142668947233,0.7170108391823358,0.3923965722876125
CYP4F11,0.4760679924525776,0.31106227794613117,0.1650057145064464
SFTA3,0.3844200156578834,0.7683743622113113,0.38395434655342786
PI3,0.5785648709007386,0.2680683759393578,0.3104964949613808
TP63,0.7324038908799513,0.3800285216198003,0.352375369260151
KIF1A,0.38595834700327103,0.3034128550617599,0.08254549194151112
LGALS7,0.4981176927324557,0.17649074775005594,0.32162694498239974
AKR1C2,0.5714976762685025,0.45434980226011973,0.11714787400838272
MUC21,0.22329410587719611,0.5798287467948294,0.3565346409176333
CALML5,0.40287889636110974,0.08175932292415286,0.32111957343695685
FAM83C,0.5151597613504834,0.07613341712538611,0.43902634422509723
PAEP,0.1331652845333185,0.2874440467025747,0.15427876216925618
MSLN,0.3934847620471584,0.6500173948280998,0.25653263278094146
SCGB3A1,0.32733651340778347,0.4944621733871956,0.16712565997941214
IVL,0.5287878860987043,0.2940374083095586,0.2347504777891457
C4BPA,0.39777883486707144,0.6699454064237063,0.2721665715566348
TRIM29,0.8091025002174941,0.43268379666444773,0.37641870355304635
CYP4F3,0.47768056889842103,0.23640984721528105,0.24127072168313998
GSTT1,0.5733888781432188,0.6028128105098528,0.029423932366633987
SBSN,0.48319047115341424,0.12531493470466434,0.3578755364487499
NTRK2,0.6591173272361059,0.3371474129984061,0.32196991423769983
UGT1A9,0.5117801267807629,0.16244263239273218,0.34933749438803074
ZFY,0.49406016399527963,0.46853713986891027,0.025523024126369365
MMP10,0.4887320801387967,0.29202799808781355,0.19670408205098316
FGL1,0.07092399134287657,0.3271398543719458,0.25621586302906924
UGT1A10,0.25070684882260685,0.06072194765048666,0.1899849011721202
DMBT1,0.42183278427129695,0.5486709946906706,0.12683821041937365
LGALS7B,0.49595970668775824,0.14321013437770408,0.35274957231005416
MUC13,0.2182192216256183,0.4172496744627696,0.19903045283715132
PTPRZ1,0.6804932530494406,0.35157803888549266,0.328915214163948
GBP6,0.642666809932303,0.29076752975402226,0.3518992801782807
LOC84740,0.3881810781823006,0.6758683781845771,0.28768730000227655
CYorf15A,0.45701250354027767,0.44904148482706574,0.00797101871321193
AQP4,0.4635387597589424,0.6473914153511628,0.18385265559222047
WIF1,0.3806763294194921,0.43876258960464376,0.05808626018515167
CEACAM5,0.4923665714552432,0.5695023503113654,0.07713577885612222
C16orf89,0.3811163281144777,0.6920630030350313,0.3109466749205536
TMPRSS11A,0.4041594084432724,0.04396003606510947,0.36019937237816296
BARX1,0.39320443003545635,0.2963014941316831,0.09690293590377325
SLC6A15,0.44005300837576256,0.14935923225575526,0.2906937761200073
MAGEA1,0.26423225812827583,0.14674842929740559,0.11748382883087025
ALDH3A1,0.5649417427610317,0.4121083837939371,0.1528333589670946
ODZ2,0.5507629851119759,0.19051505572469976,0.3602479293872761
MAGEA11,0.42566493764124114,0.07318524021939138,0.35247969742184976
GPR87,0.6844541443502591,0.39634191685933556,0.2881122274909235
SERPINB2,0.5131497011500918,0.15488909145894753,0.3582606096911443
HMGA2,0.5092994617916096,0.317500584095374,0.19179887769623555
ADAM23,0.5480621519026985,0.22975467572723385,0.3183074761754646
TTTY15,0.4059162112472988,0.40592166570633903,5.45445904021058e-06
VIL1,0.16422945610241232,0.3121436484057383,0.147914192303326
MUC16,0.44528331480793687,0.4556514729700027,0.010368158162065821
CTSE,0.440065712952235,0.6403064624008258,0.20024074944859077
IGF2BP1,0.42185235089538536,0.29042153700588974,0.13143081388949562
C10orf99,0.46406565970308034,0.03332700876592084,0.4307386509371595
GKN2,0.1981378862455565,0.36868855997533156,0.17055067372977506
NR0B1,0.203371901446808,0.157311304922794,0.04606059652401401
KLK8,0.37827317389075915,0.11543682063824073,0.2628363532525184
COL17A1,0.593840559315092,0.4516159362942859,0.14222462302080613
MMP13,0.4100183579142219,0.38570219112781934,0.024316166786402582
CA9,0.466224225397793,0.3751939968684075,0.09103022852938553
MAGEA12,0.18219585167574978,0.2414553639383529,0.05925951226260312
CAPNS2,0.5597167169635209,0.1412062222587889,0.418510494704732
PEBP4,0.32997174637628884,0.5247388077142479,0.194767061337959
MSMB,0.26586981536438375,0.3123909604206152,0.04652114505623145
