sample,mean_LUSC,mean_LUAD,DE_LUSC_vs_LUAD
KRT6A,0.7462791383862284,0.31021700835506993,0.43606213003115846
KRT5,0.7764600819655749,0.29299117880061426,0.48346890316496066
DSG3,0.6999549947625755,0.11231673583615243,0.5876382589264231
CALML3,0.6647754638137213,0.11345494222895433,0.551320521584767
XIST,0.2446048844329066,0.4794596698644585,0.2348547854315519
SFTPC,0.4613079448278277,0.571773577042062,0.11046563221423428
KRT6B,0.6556121933693843,0.21315771466436548,0.44245447870501875
RPS4Y1,0.5853323091174493,0.38184996307368996,0.2034823460437593
KRT14,0.5840868157778537,0.1754094607898838,0.4086773549879699
KRT6C,0.6222202057574622,0.17620083762523853,0.44601936813222365
KRT13,0.5716552690351527,0.18339727901108038,0.38825799002407235
AKR1B10,0.5728548745825202,0.27492206092988053,0.2979328136526396
MAGEA4,0.43829279655276776,0.1042535251358005,0.33403927141696726
SPRR2A,0.5217439413199491,0.10105541137604547,0.4206885299439036
CLCA2,0.6859913218888656,0.21362767463921353,0.4723636472496521
SERPINB13,0.5585671174695429,0.07493527697528782,0.4836318404942551
KRT16,0.6134076406950771,0.268234753478405,0.34517288721667216
SPRR3,0.48195326829205876,0.1244829888694354,0.3574702794226233
NTS,0.4722295044975743,0.17937954376276544,0.29284996073480885
DSC3,0.7476155999949071,0.2544251046842341,0.493190495310673
SPRR1B,0.5733779291766332,0.20229760459976615,0.37108032457686707
XAGE1D,0.24276402618886667,0.5942266462545336,0.3514626200656669
DDX3Y,0.5868981289511442,0.382888374306713,0.20400975464443122
PLUNC,0.23932428367930025,0.38548382586990004,0.1461595421905998
PGC,0.30602619478857873,0.4565517950128199,0.15052560022424116
ADH7,0.560219232248716,0.14040501930688762,0.4198142129418283
UPK1B,0.47292394929232784,0.15871504203554918,0.31420890725677864
MAGEA6,0.40600643147799476,0.23236415696065318,0.17364227451734157
SFTPA1,0.5629039283790136,0.6903927250529067,0.12748879667389312
KDM5D,0.5547698094921918,0.379038480921575,0.1757313285706168
SPRR1A,0.5079140199547133,0.11921170231175626,0.38870231764295704
SFTPA2,0.5929890005761775,0.7094098253993517,0.11642082482317417
SERPINB3,0.562368709987549,0.2422552084772174,0.3201135015103316
A2ML1,0.523411701165232,0.11017736108150727,0.41323434008372467
FGG,0.3326139442210302,0.5031814533176155,0.17056750909658536
SERPINB5,0.7449074825748382,0.3329925191170832,0.41191496345775497
MAGEA3,0.3792614395713039,0.22397615528767204,0.1552852842836319
SCGB1A1,0.41220828036608215,0.42316666451805324,0.01095838415197109
UGT1A6,0.6594587489993684,0.32125947006610744,0.33819927893326096
FGB,0.08638501860368766,0.2795548015952144,0.19316978299152673
SPRR2D,0.5195297286303726,0.17395830778755028,0.34557142084282233
RHCG,0.486200982066903,0.149103387955032,0.337097594111871
MAGEA9B,0.45465414929032666,0.12191854601021651,0.33273560328011015
GSTM1,0.3360265297467675,0.3341255913903393,0.0019009383564281834
PKP1,0.7745774849487518,0.425637873311918,0.3489396116368338
S100A7,0.36055818526774713,0.0769252566969653,0.2836329285707818
PRAME,0.5865623373566973,0.3865051232412531,0.2000572141154442
GJB6,0.5713069303229876,0.24757699079889228,0.32372993952409534
USP9Y,0.5312892398628941,0.36186844824755904,0.16942079161533508
LASS3,0.611847055775503,0.06698205301494331,0.5448650027605597
SFTPB,0.6066826944520676,0.7759882797619012,0.16930558530983364
C20orf114,0.40029315578536256,0.48955000192560083,0.08925684614023827
MUC5B,0.37671934738152396,0.5617214140791901,0.1850020666976661
SPRR2E,0.413795229370903,0.044587820620857976,0.36920740875004504
LY6D,0.4783914943279153,0.24335160807154843,0.23503988625636685
GPX2,0.6770224089510122,0.4085578850062024,0.2684645239448098
FOXE1,0.6293275700488907,0.27418995060661117,0.35513761944227956
CLDN18,0.39759636186281033,0.5049421598783194,0.10734579801550903
TMPRSS11D,0.4871773432967884,0.09301238480703623,0.3941649584897522
FGA,0.24152069806527313,0.41426812716319217,0.17274742909791904
NAPSA,0.5313815182382322,0.7727604537192099,0.24137893548097766
BNC1,0.6323090637265701,0.1646674914565331,0.46764157227003705
SPINK1,0.18081381641612213,0.42266364650636673,0.2418498300902446
DAPL1,0.5189948717327731,0.11969445853443132,0.3993004131983418
UGT1A7,0.36606630557556896,0.02572456888718863,0.3403417366883803
PADI3,0.43294407493249376,0.11695769721103351,0.31598637772146027
EIF1AY,0.49214800685978244,0.3285451026562686,0.16360290420351387
SERPINB4,0.46530337363376684,0.16440323923687303,0.3009001343968938
MAGEA2,0.2774549666502285,0.19301477499300423,0.08444019165722427
SCGB3A2,0.4439109180665176,0.5633120308101349,0.11940111274361731
UTY,0.529676112987416,0.3544314031679446,0.17524470981947143
LOC642587,0.667321521980896,0.2416645058076034,0.4256570161732926
FAT2,0.6974588680123905,0.3056154283434194,0.3918434396689711
KRT17,0.7177009443412402,0.43381117590416013,0.2838897684370801
SFTA2,0.3753044685909179,0.7139112607689396,0.33860679217802175
CYP4F11,0.5208789105842988,0.3164043056025776,0.2044746049817212
SFTA3,0.44085954920645354,0.7627241931187663,0.32186464391231273
PI3,0.5538476115889475,0.2726230102787585,0.28122460131018895
TP63,0.7395785593109863,0.38548943673680736,0.3540891225741789
KIF1A,0.37007167050354683,0.3273355811192302,0.04273608938431661
LGALS7,0.49765946820180706,0.16207376785090633,0.33558570035090074
AKR1C2,0.6284429261436412,0.42848656439521154,0.19995636174842962
MUC21,0.26264688593181806,0.5663252200809714,0.30367833414915335
CALML5,0.3919850729486284,0.10964579694860675,0.2823392760000216
FAM83C,0.502038771738852,0.06295667776845662,0.43908209397039544
PAEP,0.13581774046819947,0.3247721159241542,0.18895437545595475
MSLN,0.42609821770473094,0.6261031025252161,0.20000488482048512
SCGB3A1,0.3578838643474432,0.48450525631537916,0.12662139196793598
IVL,0.519941417588121,0.3102915175812901,0.20964990000683087
C4BPA,0.4537098384237772,0.6651339483222464,0.21142410989846916
TRIM29,0.8127177423122359,0.4606235374421383,0.3520942048700976
CYP4F3,0.512813962819361,0.24799729428860037,0.2648166685307606
GSTT1,0.5739175322541727,0.6187527270407723,0.044835194786599586
SBSN,0.4559602405876901,0.1522571161905152,0.30370312439717484
NTRK2,0.6823043495078953,0.3693458141316951,0.3129585353762002
UGT1A9,0.5450184710539775,0.17848164131039673,0.36653682974358076
ZFY,0.5291498431605113,0.3546204899414992,0.17452935321901208
MMP10,0.48247454355561625,0.26411863130462154,0.2183559122509947
FGL1,0.08915773291328324,0.32478192128910155,0.2356241883758183
UGT1A10,0.2586348623120339,0.0954847889969766,0.16315007331505732
DMBT1,0.4723429346133278,0.5669659036253134,0.09462296901198558
LGALS7B,0.46343007452763246,0.14672121199229743,0.31670886253533503
MUC13,0.21830552520948268,0.39181846220804556,0.17351293699856288
PTPRZ1,0.6786519085673453,0.3659539173863736,0.31269799118097164
GBP6,0.6601848579149421,0.30453113027723505,0.35565372763770703
LOC84740,0.3863277929869109,0.6296098268922713,0.2432820339053604
CYorf15A,0.49960653273790967,0.33284798007891486,0.1667585526589948
AQP4,0.5202644531852989,0.6506315836535728,0.13036713046827386
WIF1,0.38102510627648717,0.417233725068192,0.03620861879170484
CEACAM5,0.4655353220226909,0.5982742400444996,0.1327389180218087
C16orf89,0.4389563646381074,0.6833761453700538,0.24441978073194637
TMPRSS11A,0.4196172411290844,0.04603250609584212,0.37358473503324224
BARX1,0.3841336688939184,0.31633658119469954,0.06779708769921888
SLC6A15,0.4443382553799356,0.12855057062640818,0.3157876847535274
MAGEA1,0.2883932457349913,0.12825123307633068,0.16014201265866063
ALDH3A1,0.5774059485319083,0.38942547904765434,0.18798046948425395
ODZ2,0.5386608705478158,0.21111337806503008,0.3275474924827857
MAGEA11,0.38912722679047,0.07888779808736816,0.31023942870310184
GPR87,0.7003714920845968,0.40769562112863983,0.292675870955957
SERPINB2,0.4903925042225804,0.1548084994668217,0.33558400475575867
HMGA2,0.5202548009129944,0.3195389393048401,0.20071586160815424
ADAM23,0.5928570790510126,0.23918610105626092,0.35367097799475167
TTTY15,0.4517163944867345,0.2991863231221202,0.15253007136461433
VIL1,0.1421142427314275,0.31294419272504626,0.17082994999361875
MUC16,0.4116787714287318,0.5489266850626537,0.13724791363392191
CTSE,0.47746909205244437,0.6238568545334423,0.14638776248099794
IGF2BP1,0.39842006206588204,0.28593757085080374,0.1124824912150783
C10orf99,0.44265233232737833,0.03264367861417437,0.41000865371320394
GKN2,0.2379537737170062,0.35508203799654575,0.11712826427953954
NR0B1,0.2609349420928264,0.13855650421629945,0.12237843787652697
KLK8,0.3808731310929924,0.1722040347547615,0.2086690963382309
COL17A1,0.6184776347642337,0.4363111635238966,0.18216647124033708
MMP13,0.40290433214591165,0.3652962134247543,0.037608118721157324
CA9,0.4797471572816239,0.3651658436927589,0.11458131358886503
MAGEA12,0.2280996117505786,0.18960932618775594,0.03849028556282266
CAPNS2,0.5496353541121743,0.15678294787873595,0.3928524062334384
PEBP4,0.3747920618725891,0.5108041590520874,0.1360120971794983
MSMB,0.2564930932549007,0.29378973396109453,0.03729664070619382
GJB5,0.7149328785789977,0.2979172474196842,0.4170156311593135
ADH1B,0.46630863464795763,0.5851981698806087,0.11888953523265106
CST1,0.36999938620624917,0.3661484714445038,0.003850914761745372
ANXA8,0.7209055717074089,0.40632098661470445,0.3145845850927044
CYP4B1,0.48411413761661415,0.6262780214524031,0.14216388383578893
PIGR,0.48259945729370296,0.6398666340438705,0.1572671767501675
PCSK2,0.21194539295082143,0.25474795575908,0.04280256280825856
SLC34A2,0.5955054728021115,0.8069593419611654,0.21145386915905384
HOXC10,0.40745599576392355,0.32128483073492514,0.08617116502899841
PPP2R2C,0.6328299503727621,0.3810852741632409,0.25174467620952123
HOXD13,0.44682881046564515,0.1061109759335997,0.34071783453204546
CALCA,0.06282023198189647,0.16857403332158566,0.10575380133968919
TCN1,0.2960314248150945,0.29857745731911756,0.002546032504023077
KRT4,0.4130058351142039,0.30790704709258016,0.10509878802162376
KLK6,0.36105556872103617,0.21753962097187218,0.14351594774916399
LGSN,0.20940471212706893,0.5550177748063586,0.3456130626792897
NELL1,0.31305070455163797,0.23397448472408489,0.07907621982755308
GSTA1,0.51311191784291,0.41497465158447305,0.09813726625843694
AQP5,0.3271244732651524,0.488123733008874,0.1609992597437216
SFTPD,0.5303839973633562,0.6701865907257333,0.1398025933623771
FOLR1,0.46061268754552825,0.7183440319522814,0.2577313444067531
CALB1,0.2584363089742679,0.08174911157368686,0.17668719740058103
C20orf85,0.27081844054013804,0.3491365951731975,0.07831815463305947
HBA1,0.33774083367367663,0.39506284238565753,0.0573220087119809
EEF1A2,0.39615263139789814,0.4653233074866642,0.06917067608876604
CYorf15B,0.4211169146460403,0.3039532629357581,0.1171636517102822
SLCO1B3,0.31482953359975613,0.24461346461707953,0.0702160689826766
FAM83B,0.6570796796554904,0.27874561679403903,0.3783340628614514
NKX2-1,0.47337793616943097,0.7811368633605328,0.3077589271911018
CACNA1B,0.5106179953420549,0.18198122139485334,0.32863677394720153
PTHLH,0.6152433077600447,0.34480907574383646,0.2704342320162082
S100A2,0.6567643657979727,0.40811089843147996,0.24865346736649274
PNCK,0.5725685664794312,0.2372751908243077,0.3352933756551235
HNF1B,0.3300208902221301,0.7144282955459893,0.3844074053238592
CPLX2,0.19042261612228095,0.18414793677722613,0.006274679345054823
BRDT,0.14789652133191075,0.2729497099105529,0.12505318857864214
COL11A1,0.5861744307839472,0.5287208735955443,0.05745355718840284
TFF1,0.12264653407897835,0.23260019612587712,0.10995366204689877
AKR1C1,0.603664438649852,0.4365913376184308,0.1670731010314212
CLCA4,0.3485545928675239,0.05822347786642239,0.2903311150011015
KIAA0408,0.2568522024294487,0.4192103589292051,0.16235815649975643
KLK12,0.22120745873878908,0.20638152911435723,0.014825929624431855
WDR72,0.7066405875979962,0.4379224745970513,0.2687181130009449
PRKY,0.5172737798102155,0.34237958723945067,0.17489419257076483
BPIL1,0.10122213786954284,0.22446291622425002,0.12324077835470718
SLC6A4,0.2991943458500417,0.2846262747894511,0.014568071060590604
SOX2,0.6872971285711886,0.46858109957024435,0.21871602900094428
C4orf7,0.2541192074775382,0.21232809709767403,0.04179111037986416
COL7A1,0.6863078718999164,0.4183081572840145,0.2679997146159019
MS4A15,0.29664124553170956,0.4371520655188172,0.14051081998710763
