dataset,scheme,poly_mod_degree,batch,samples,run,enc_latency_ms,exec_latency_ms,dec_latency_ms,ct_size_kb,mae
dataset1,BFV,4096,batch_a,100,1,129.7161,3.0676,1.9726,128.1104,7.08e-06
dataset1,BFV,4096,batch_a,100,2,124.6687,2.6535,1.9711,128.1104,7.08e-06
dataset1,BFV,4096,batch_a,100,3,127.441,2.6589,1.7159,128.1104,7.08e-06
dataset1,BFV,4096,batch_a,100,4,120.7423,2.4087,1.7465,128.1104,7.08e-06
dataset1,BFV,4096,batch_a,100,5,119.4672,2.3971,1.738,128.1104,7.08e-06
dataset1,BFV,4096,batch_a,100,6,124.8981,2.6872,1.8116,128.1104,7.08e-06
dataset1,BFV,4096,batch_a,100,7,121.9417,2.5358,2.2044,128.1104,7.08e-06
dataset1,BFV,4096,batch_a,100,8,122.0762,2.5026,1.7391,128.1104,7.08e-06
dataset1,BFV,4096,batch_a,100,9,123.2844,2.5537,1.781,128.1104,7.08e-06
dataset1,BFV,4096,batch_a,100,10,121.3348,2.4289,1.9329,128.1104,7.08e-06
dataset1,BFV,4096,batch_b,400,1,479.1947,9.9934,1.6983,128.1104,3.62e-06
dataset1,BFV,4096,batch_b,400,2,496.2282,10.7657,1.7084,128.1104,3.62e-06
dataset1,BFV,4096,batch_b,400,3,479.2757,10.3439,1.7666,128.1104,3.62e-06
dataset1,BFV,4096,batch_b,400,4,472.0592,9.8646,1.7066,128.1104,3.62e-06
dataset1,BFV,4096,batch_b,400,5,472.9422,10.0798,1.7323,128.1104,3.62e-06
dataset1,BFV,4096,batch_b,400,6,515.6867,11.7055,2.0887,128.1104,3.62e-06
dataset1,BFV,4096,batch_b,400,7,519.6147,11.5292,2.3949,128.1104,3.62e-06
dataset1,BFV,4096,batch_b,400,8,634.4704,15.7874,1.8521,128.1104,3.62e-06
dataset1,BFV,4096,batch_b,400,9,509.0932,11.1535,1.8047,128.1104,3.62e-06
dataset1,BFV,4096,batch_b,400,10,527.6818,12.1752,1.9537,128.1104,3.62e-06
dataset1,BFV,4096,batch_c,801,1,1099.799,28.0712,1.9637,128.1104,2.49e-06
dataset1,BFV,4096,batch_c,801,2,999.5504,22.263,2.5308,128.1104,2.49e-06
dataset1,BFV,4096,batch_c,801,3,1008.4397,23.2019,1.7966,128.1104,2.49e-06
dataset1,BFV,4096,batch_c,801,4,1074.6924,25.6474,1.7537,128.1104,2.49e-06
