dataset,scheme,poly_mod_degree,batch,samples,run,enc_latency_ms,exec_latency_ms,dec_latency_ms,ct_size_kb,mae
dataset1,CKKS,8192,batch_a,100,1,502.8346,6953.6978,10.6975,243.7939,1.257e-05
dataset1,CKKS,8192,batch_a,100,2,512.1861,6440.8997,8.5581,243.7324,1.251e-05
dataset1,CKKS,8192,batch_a,100,3,560.931,6803.9125,8.2731,243.9785,1.257e-05
dataset1,CKKS,8192,batch_a,100,4,558.5836,6747.9717,9.2391,245.4062,1.25e-05
dataset1,CKKS,8192,batch_a,100,5,524.1935,6622.0018,9.2318,243.8252,1.253e-05
dataset1,CKKS,8192,batch_a,100,6,486.7242,6347.2987,8.0775,243.8359,1.25e-05
dataset1,CKKS,8192,batch_a,100,7,486.5434,6364.3513,9.0132,245.4844,1.257e-05
dataset1,CKKS,8192,batch_a,100,8,491.285,6550.476,8.3672,245.3906,1.249e-05
dataset1,CKKS,8192,batch_a,100,9,481.9845,6647.7036,8.8452,243.3154,1.247e-05
dataset1,CKKS,8192,batch_a,100,10,558.8763,6586.7645,8.4156,244.5186,1.246e-05
dataset1,CKKS,8192,batch_b,400,1,1819.1293,6514.3827,8.7058,244.8857,1.257e-05
dataset1,CKKS,8192,batch_b,400,2,1888.0988,6595.0053,9.1994,243.7646,1.259e-05
dataset1,CKKS,8192,batch_b,400,3,1819.9753,6801.3753,9.3021,244.8281,1.258e-05
dataset1,CKKS,8192,batch_b,400,4,1997.0556,7464.055,11.682,243.5615,1.261e-05
dataset1,CKKS,8192,batch_b,400,5,2241.6608,6931.9108,10.1908,244.9141,1.26e-05
dataset1,CKKS,8192,batch_b,400,6,2043.8881,6548.6984,9.0164,244.6494,1.256e-05
dataset1,CKKS,8192,batch_b,400,7,2080.3335,6604.6891,8.124,243.5967,1.257e-05
dataset1,CKKS,8192,batch_b,400,8,1814.6982,6545.2118,8.9517,243.9219,1.262e-05
dataset1,CKKS,8192,batch_b,400,9,1887.8019,6617.968,8.7593,244.8105,1.259e-05
dataset1,CKKS,8192,batch_b,400,10,1812.6294,6617.8781,8.5366,245.1436,1.268e-05
dataset1,CKKS,8192,batch_c,801,1,3547.1559,6256.525,8.1797,243.5342,1.239e-05
dataset1,CKKS,8192,batch_c,801,2,3481.6573,6616.0416,9.0154,245.1143,1.242e-05
dataset1,CKKS,8192,batch_c,801,3,3974.3198,6745.9118,10.7938,243.9307,1.247e-05
dataset1,CKKS,8192,batch_c,801,4,3750.916,6755.5192,8.8008,245.8711,1.239e-05
dataset1,CKKS,8192,batch_c,801,5,3742.0397,6630.0437,8.6403,243.5479,1.24e-05
dataset1,CKKS,8192,batch_c,801,6,3847.5433,7012.0487,11.1492,243.8682,1.24e-05
dataset1,CKKS,8192,batch_c,801,7,4084.6358,6765.1684,8.5864,245.3555,1.238e-05
dataset1,CKKS,8192,batch_c,801,8,3842.5363,6779.9475,8.3873,244.1484,1.243e-05
dataset1,CKKS,8192,batch_c,801,9,3861.9944,6771.2143,10.7536,245.3242,1.244e-05
dataset1,CKKS,8192,batch_c,801,10,3922.7498,7112.0472,11.1678,243.4072,1.239e-05
dataset1,CKKS,16384,batch_a,100,1,1440.0647,30169.3513,31.07,771.4385,2.504e-05
dataset1,CKKS,16384,batch_a,100,2,1377.1029,31198.5457,36.4366,768.5117,2.498e-05
dataset1,CKKS,16384,batch_a,100,3,1422.1831,29239.4997,36.3645,769.9111,2.519e-05
dataset1,CKKS,16384,batch_a,100,4,1452.7759,31092.6842,33.1893,768.4111,2.499e-05
dataset1,CKKS,16384,batch_a,100,5,1445.3024,31549.8932,41.5942,768.252,2.504e-05
dataset1,CKKS,16384,batch_a,100,6,1560.5143,34772.7228,34.028,770.2666,2.5e-05
dataset1,CKKS,16384,batch_a,100,7,1369.2828,29736.2832,33.1955,768.2607,2.511e-05
dataset1,CKKS,16384,batch_a,100,8,1295.2289,29752.4347,37.0612,768.3232,2.502e-05
dataset1,CKKS,16384,batch_a,100,9,1477.6059,30429.9199,35.2796,768.4131,2.499e-05
dataset1,CKKS,16384,batch_a,100,10,1504.8952,29688.4063,33.8711,768.1885,2.498e-05
dataset1,CKKS,16384,batch_b,400,1,5359.521,28373.8363,33.9149,770.334,2.528e-05
dataset1,CKKS,16384,batch_b,400,2,4971.5419,30538.5414,30.8998,771.4932,2.524e-05
dataset1,CKKS,16384,batch_b,400,3,5288.7877,32944.7535,43.5492,771.8799,2.531e-05
dataset1,CKKS,16384,batch_b,400,4,5343.1362,29173.4668,33.2519,770.9404,2.522e-05
dataset1,CKKS,16384,batch_b,400,5,5060.6106,29553.7442,34.1734,770.8154,2.526e-05
dataset1,CKKS,16384,batch_b,400,6,5174.0516,32046.8268,59.9432,771.6553,2.53e-05
dataset1,CKKS,16384,batch_b,400,7,5494.5095,30917.6762,36.2013,771.6836,2.517e-05
dataset1,CKKS,16384,batch_b,400,8,5997.7178,31079.1772,41.1248,771.6895,2.52e-05
dataset1,CKKS,16384,batch_b,400,9,6810.2968,33577.1061,37.8035,771.9775,2.524e-05
dataset1,CKKS,16384,batch_b,400,10,6134.8074,32464.547,34.748,771.6699,2.52e-05
dataset1,CKKS,16384,batch_c,801,1,11341.844,34994.4422,40.8225,768.1963,2.493e-05
dataset1,CKKS,16384,batch_c,801,2,11969.8147,33730.6398,38.2263,768.4268,2.478e-05
dataset1,CKKS,16384,batch_c,801,3,11565.9749,33028.0877,33.8544,768.3154,2.486e-05
dataset1,CKKS,16384,batch_c,801,4,11738.4156,35517.6504,38.8294,770.4014,2.491e-05
dataset1,CKKS,16384,batch_c,801,5,12237.4757,34009.6245,36.9808,768.3555,2.471e-05
dataset1,CKKS,16384,batch_c,801,6,12445.2379,34979.4591,59.1191,771.5283,2.483e-05
dataset1,CKKS,16384,batch_c,801,7,11997.8512,33287.9312,37.8587,771.7246,2.497e-05
dataset1,CKKS,16384,batch_c,801,8,12539.9995,36616.8241,35.2721,771.6445,2.476e-05
dataset1,CKKS,16384,batch_c,801,9,11036.0821,33558.3097,40.5122,768.4062,2.482e-05
